uuid,Kunde,Zaehlernummer,Datum,Kommentar,Kommentar
51e49a47-7719-44ee-b9b1-d0b00cef9110,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.02.2018,5.965,\N
62b89669-f3b2-4af0-8fba-4d2fb0b82ee5,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.04.2018,6.597,\N
631f870e-d873-4c40-b695-193ab3141587,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.05.2018,6.859,\N
5e17c515-d777-42af-b98f-be593a3f8f6d,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.07.2018,7.344,\N
b488414d-e7b0-4f86-bb88-9373681857bf,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.08.2018,7.558,\N
d58b4b9a-4004-4a8d-8dfb-118bf9d65c2f,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.09.2018,7.745,\N
5fb3aed1-d583-4251-97a4-e968357afe32,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.10.2018,7.946,\N
4c6d019a-c031-4aba-81ac-3356d9285547,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.11.2018,8.183,\N
ae62529f-774f-4c6a-8b02-e5b747ad0928,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.12.2018,8.447,\N
2f901992-37cb-4742-a712-89a9e2175150,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,31.12.2018,8.745,\N
6c7c45bb-ad8c-47f5-ac89-b6b8b2f7005b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.02.2019,9.062,\N
45cfe411-df07-4c90-b998-f129673c47c7,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,04.03.2019,9.42,\N
f9834f16-59f5-4dc0-b03a-08f4d63f2b2d,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,02.04.2019,9.724,\N
6221b2d5-1930-4e8b-9559-a9e5bcf99d9b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.05.2019,9.962,\N
65e5bb52-d988-4179-b560-fe518fe8e88a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.06.2019,10.231,\N
b76bfc5a-b271-4df0-9875-ce36e8ed0343,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,30.06.2019,10.47,\N
b2d28ecf-a0eb-4985-9b6c-c2b57111970a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.08.2019,10.706,\N
4d96bf07-ab46-4e05-aaa5-56d4acef0a6b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,31.08.2019,10.904,\N
171f238b-71f5-4d17-b088-54e0ccc2a8f1,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,30.09.2019,11.118,\N
9a06b863-59d3-4a24-b27b-cf86aea6df6a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,30.10.2019,11.352,\N
7212d125-38e8-49f7-a796-5af9dadc8705,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,24.11.2019,11.539,\N
7cf61467-2e5f-44dc-a20d-dac3e54dabef,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.12.2019,11.606,\N
093278eb-ff9d-441a-8ed9-438f67c8d5b3,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,31.12.2019,11.88,\N
f64bdf51-2f84-41e8-a53b-a69d8e645932,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.02.2020,12.177,\N
a454a797-111a-4885-9045-50ffc7141526,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.03.2020,12.446,\N
db773d64-fc08-4643-9800-c9bda5420716,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,03.05.2020,13.01,\N
f5d15dfc-f1c3-49eb-9ab0-ce87e67e2eee,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,31.05.2020,13.228,\N
9296c4d9-78c2-4b56-9ceb-aaceecfb7380,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.07.2020,13.464,\N
fc093234-27d1-4db7-afca-9ccd459d1251,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.08.2020,13.67,\N
466fe0f4-c4aa-40d4-a419-c1f3ba61946c,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.09.2020,13.858,\N
b47f6633-8600-4871-9a58-fec73ae1888b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.10.2020,14.064,\N
9ea23deb-3254-4d1c-9294-2f5458304004,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.11.2020,14.303,\N
6598f59f-c642-4cce-9dac-f35fa016c372,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,26.11.2020,14.51,\N
71b9fae2-2c24-46fb-8f66-3779db415873,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,05.12.2020,14.596,\N
a79b17ca-e99a-4761-8e22-0b25c5c99519,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,31.12.2020,14.843,\N
5f9c91b2-ff04-4b8e-846f-d8b7afe25202,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,02.03.2021,15.401,\N
df1353a5-06da-41e3-b62e-f125c7d3f71f,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.04.2021,15.683,\N
24a4f1c2-3d1f-431b-9a9d-3022f524b88e,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.05.2021,15.942,\N
a83f35b2-eae5-494e-87eb-9c34f4e12e4c,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,01.06.2021,16.21,\N
2c7cc22d-169b-4a3b-9e15-87713274b40a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2018-2312456ab,22.06.2021,16.374,\N
314f9be9-ee37-410a-9250-6be238cd839a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,22.06.2021,0,Zählertausch: neue Nummer Xr-2021-2312434xz
