uuid,Kunde,Zaehlernummer,Datum,Kommentar,Kommentar
675ed5c2-e7a9-4879-b40d-4ac1aada6ff7,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.02.2018,16573,\N
9671f472-f4fe-4cb4-92cd-d6f8b8e631d4,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.04.2018,17056,\N
e6ce28c5-ddf5-4668-973e-5b658853369a,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.05.2018,17272,\N
e84d2d46-f764-4473-9fdb-0b3c61d812d8,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.07.2018,17734,\N
4f800b7f-6465-44da-ae3c-30d9fc24f0e7,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2018,17962,\N
f0f6013c-f45c-4a1a-86a5-c9441d66c5f5,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.09.2018,18209,\N
3481f6a4-1091-47bb-aa69-22a1b1f27e68,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.10.2018,18437,\N
eece463e-fad9-431a-9e7f-8e306ca94575,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.11.2018,18679,\N
f235b711-d787-4b78-830b-55178b6ce9f4,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.12.2018,18937,\N
644d6cff-cf43-4681-84b5-ec51a9d7b064,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.12.2018,19185,\N
ceea5a8d-844d-4780-82e7-e9a807125eea,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.02.2019,19471,\N
365e8ec4-af23-4a2d-ba16-fa7744189164,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,04.03.2019,19738,\N
3cb5b4ae-9429-4d0a-be1c-fddcb9454d48,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,02.04.2019,19988,\N
9704d997-7470-4c62-aa32-03ec00e5a914,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.05.2019,20240,\N
d112e7d7-04ec-4391-821f-353509c2e218,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.06.2019,20494,\N
f7019763-8797-469f-b6ba-8b6a3b907192,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,30.06.2019,20741,\N
656082c5-bb0c-44e3-b816-1614b552bea6,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2019,21012,\N
b1972412-057b-486c-9c7b-cd5dd9a46b5b,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.08.2019,21262,\N
206ad517-2c49-4b46-98c7-f0eadf2832b3,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,30.09.2019,21505,\N
23202f8c-d9d2-4b8c-9f42-80b538be3684,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.10.2019,21736,\N
2d949f0a-39f1-4023-bc95-72aa2d3d5b66,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.12.2019,21993,\N
34626d75-ee8e-4cb1-a5f6-2fefee220fea,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.12.2019,22241,\N
c23297d4-1b8b-4eb0-ac74-317f3880076b,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.02.2020,22520,\N
ee912a70-ba46-4b4b-ac6b-2834f0260e67,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.03.2020,22737,\N
a12b02ac-2f5e-42d2-a688-aefb6362789a,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,03.05.2020,23274,\N
7e7cf35e-daf5-48ea-aa5e-5e3eb268726c,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.05.2020,23467,\N
e2fba7d5-797d-4f9d-b038-efbd02f96966,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.07.2020,23662,\N
1443c25a-2b2f-4bf4-bb09-e4ee5b7b9672,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2020,23847,\N
8d7d4701-d15f-42d8-8748-dd250e75fcbe,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.09.2020,24060,\N
b294ee9a-f103-4df6-b2ac-49c31658b907,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.10.2020,24237,\N
a74edd9c-e594-4de1-a982-1252609b020a,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.11.2020,24453,\N
202cb437-2baa-4b5c-9646-1d8dbf4a8035,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,05.12.2020,24702,\N
a6580dba-08fb-4467-97a6-a0bd4d573344,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.12.2020,24910,\N
af4510e6-64e5-4ae1-8eb6-ed5135830b59,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.04.2021,25587,\N
04723b26-6c95-48b0-9fc0-816c028b85e2,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.05.2021,25810,\N
d4964a9b-c467-4f83-8a05-b743de27d6c1,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.06.2021,26048,\N
4170c9fd-6ae6-44a1-af2f-1f4cb84c15fc,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.07.2021,26245,\N
e1750867-c5d8-4c0d-a78c-f86a0fca7734,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2021,26441,\N
c7736c37-dd76-4b0c-a1b2-597ee5f0a4b2,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.09.2021,26616,\N
28dfe2cf-f2c2-406a-acb9-ea47ebb75383,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,02.10.2021,26825,\N
5901fe96-6558-4562-a49f-ebdfb39b5cb4,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.11.2021,27030,\N
d8e8172d-2f3e-4746-88c8-843d2f92796e,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,28.11.2021,27226,\N
18d9a1a1-7493-4671-b6d9-2fb140f42603,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.01.2022,27467,\N
fe31d4da-e2f1-4552-825b-496a2b23df0e,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,27.02.2022,27860,\N
d98db777-471a-4693-b19d-891b1f3c8164,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,10.04.2022,28135,\N
d3592461-df8f-4035-a732-ece5cf081e3c,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2022,28853,\N
2ac5d4f9-b72c-48ec-a22d-337c70e3bc7f,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.09.2022,29052,\N
91d74d1b-722a-4ea9-846a-7f0623729939,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,30.09.2022,29245,\N
be6330d1-f2ba-4668-bae1-e5ae55f346a8,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,29.10.2022,29436,\N
8176daab-3f39-4164-beda-005246112b82,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,28.11.2022,29621,\N
9def6c9d-609a-444a-9f2a-783662c9f202,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.12.2022,29818,\N
2f67715d-847c-4b3b-a147-e96d6d46116f,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.03.2023,30194,\N
c20deacc-8de7-4d80-84ff-03502c2057e4,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.05.2023,30566,\N
6e60c8aa-4266-42b8-8bb1-c2393832341c,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.05.2023,30774,\N
2903ae21-0645-4635-9503-13bfd897e161,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.08.2023,31171,\N
8aacf6b7-f7bd-4e16-bdcf-0b88d0261ad7,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.08.2023,31369,\N
6b8ef593-7d6b-4cb7-9e26-30ad4d8dd819,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,30.09.2023,31561,\N
5ba5bb84-9dbd-4855-aad6-571645525bbd,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,30.10.2023,31762,\N
d9d82781-b67b-4aa6-8a5f-ec970e7926a2,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.12.2023,31994,\N
8c5d9fcc-1f75-4643-9212-de80197a4b11,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,05.12.2023,32021,\N
a7bc3e2e-f6e7-446c-a84b-80d4eb5215e3,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.12.2023,32205,\N
4ab40fb2-e989-49ab-a8a4-96bc6c9da6a4,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,03.02.2024,32458,\N
a458473f-3a2a-4d4e-bd7d-02f60e15fda5,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,31.03.2024,32848,\N
9ac0f2e9-18e9-45c5-94d4-ab96187a7d4e,ec617965-88b4-4721-8158-ee36c38e4db3,MST-af34569,01.05.2024,33065,\N
