uuid,Kunde,Zaehlernummer,Datum,Kommentar,Kommentar
c93b449d-c470-4c74-965a-9bec015fec3a,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.02.2018,473,\N
d4247b93-03d2-481a-bc66-58b6db530adf,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.04.2018,495,\N
77eca101-77e4-42d3-82c0-cd988ad0cb1f,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.05.2018,505,\N
d8d8eeb5-fa92-4610-9704-f326fd7f712f,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.08.2018,542,\N
a729b39c-3763-4139-afac-aec85dc1adeb,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.09.2018,556,\N
98411e39-fbb9-4b5b-8bff-e77c5cc6a431,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.10.2018,565,\N
89656ed1-4de7-4cec-b762-abc439ed7139,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.11.2018,574,\N
e06f7ee9-fbf1-4111-91ad-a8974c6f1bca,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.12.2018,584,\N
93f177fc-a4dd-4893-8b3e-e52a496276bd,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,31.12.2018,594,\N
ab1e94b7-60c1-41e1-9eeb-f978ab4a96df,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,31.12.2018,596,\N
aaa1f2bc-7d0c-419b-94a6-000ed390c334,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.02.2019,604,\N
b8424eac-d413-4386-a1a6-50896fca2773,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,04.03.2019,615,\N
ff699828-4e6c-4b1c-8897-4b73497e3e7a,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,02.04.2019,625,\N
2aba435d-3733-4d57-b0f8-741564805964,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.05.2019,634,\N
d877b924-b38d-4855-a858-1fc6f65def02,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.06.2019,644,\N
7d2b720c-6c9b-48f3-9fb3-04463a514742,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,30.06.2019,662,\N
76ddedb5-ee27-439f-8f68-3683ee1bfdcd,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.08.2019,674,\N
656b74ee-01cb-432c-9eab-4a28c764a747,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,31.08.2019,683,\N
e6d10e42-1494-4003-b2e6-b3ca5f5011ec,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,30.09.2019,692,\N
dafb0a61-edc8-48ac-b63c-c48a7b95a1ba,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,30.10.2019,701,\N
b4645728-1865-4e67-8444-43b58cd036cf,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.12.2019,710,\N
e3474f76-d41b-4e3c-a786-9c50a0049bc4,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,31.12.2019,719,\N
11e42c46-a40b-4e11-b613-a58add43f6ea,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,31.12.2019,722,\N
d3480468-54eb-437c-a1cb-10ee54ed25fd,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.02.2020,728,\N
57d83cc3-fbb8-4b4a-97c4-680c795db0c9,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,01.03.2020,736,\N
1ef7a7ba-770d-4f58-bcad-29f1aadf9502,ec617965-88b4-4721-8158-ee36c38e4db3,23451007,03.03.2020,737,\N
a5873508-a0da-4e48-b61b-d4f7af8d7c88,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,03.03.2020,0,Zählertausch: neue Nummer 786523123
61c1a12a-da80-4054-bf4a-f1ef84876494,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,03.05.2020,20,\N
6e70a12f-f430-462d-b7b3-dd7bef2c6991,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,31.05.2020,29,\N
f3617a02-e3a1-4f77-b7df-57ca498b25ed,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,01.07.2020,38,\N
f13c032b-9da7-47ca-bdaa-06b6dc657b3d,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,01.08.2020,47,\N
1f799ae6-3efe-48ba-b877-4269bc5f0164,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,01.09.2020,56,\N
c69cb113-960d-4429-a66a-82a8472183aa,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,01.10.2020,63,\N
aea2d353-e274-44b0-9ed1-be7d54f1eccd,ec617965-88b4-4721-8158-ee36c38e4db3,786523123,01.11.2020,71,\N
